Key,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
MainMenu.Settings.ExportSettings.WebPQualityInfo,"With Lossless on, higher quality means a smaller file and slower encode. Looks stay the same. With Lossless off, higher quality means better looks and a larger file.",启用无损后，更高的质量意味着更小的文件和更慢的编码，但视觉效果保持不变。关闭无损后，更高的质量意味着更好的效果和更大的文件。,啟用無損後，更高的品質意味著更小的檔案和更慢的編碼。看起來還是一樣。關閉無損後，更高的品質意味著更好的外觀和更大的文件。,"Wenn „Lossless“ aktiviert ist, bedeutet eine höhere Qualität eine kleinere Datei und eine langsamere Kodierung. Das Aussehen bleibt gleich. Wenn „Lossless“ deaktiviert ist, bedeutet eine höhere Qualität ein besseres Aussehen und eine größere Datei.","Con Lossless activado, una mayor calidad significa un archivo más pequeño y una codificación más lenta. Parece seguir igual. Con Lossless desactivado, una mayor calidad significa una mejor apariencia y un archivo más grande.","Avec Lossless activé, une qualité supérieure signifie un fichier plus petit et un encodage plus lent. L'apparence reste la même. Lorsque Lossless est désactivé, une qualité supérieure signifie une meilleure apparence et un fichier plus volumineux.","Ha a veszteségmentes funkció be van kapcsolva, a jobb minőség kisebb fájlt és lassabb kódolást jelent. A kinézet ugyanaz marad. A veszteségmentes kikapcsolással a magasabb minőség jobb megjelenést és nagyobb fájlt jelent.",ロスレスをオンにすると、品質が高くなるとファイルが小さくなり、エンコードが遅くなります。見た目は変わりません。ロスレスをオフにすると、品質が高くなると見た目も良くなり、ファイルが大きくなります。,무손실을 켜면 품질이 높아질수록 파일 크기가 작아지고 인코딩 속도가 느려집니다. 그대로 유지되는 것 같습니다. 무손실을 끄면 품질이 높아질수록 모양이 좋아지고 파일 크기가 커집니다.,"При включенном режиме Lossless более высокое качество означает меньший размер файла и более медленное кодирование. Внешний вид остается прежним. Если функция Lossless отключена, более высокое качество означает лучший внешний вид и больший размер файла.","Com Lossless ativado, maior qualidade significa um arquivo menor e uma codificação mais lenta. A aparência permanece a mesma. Com Lossless desativado, maior qualidade significa melhor aparência e um arquivo maior.","Якщо ввімкнути Lossless, вища якість означає менший файл і повільніше кодування. Зовнішність залишається незмінною. Якщо Lossless вимкнено, вища якість означає кращий вигляд і більший файл.","With Lossless on, higher quality means a smaller file and slower encode. Looks stay the same. With Lossless off, higher quality means better looks and a larger file.",เมื่อเปิด Lossless คุณภาพสูงขึ้นหมายถึงไฟล์เล็กลงและเข้ารหัสช้าลง หน้าตาก็เหมือนเดิม เมื่อปิด Lossless คุณภาพที่สูงขึ้นหมายถึงรูปลักษณ์ที่ดีขึ้นและไฟล์ที่ใหญ่ขึ้น,"Kayıpsız açıkken daha yüksek kalite, daha küçük dosya ve daha yavaş kodlama anlamına gelir. Görünüm aynı kalıyor. Kayıpsız kapalıyken daha yüksek kalite, daha iyi görünüm ve daha büyük dosya anlamına gelir.","Med Lossless på betyder högre kvalitet en mindre fil och långsammare kodning. Utseendet förblir detsamma. Med Lossless av, betyder högre kvalitet bättre utseende och en större fil.","With Lossless on, higher quality means a smaller file and slower encode. Looks stay the same. With Lossless off, higher quality means better looks and a larger file."
MainMenu.Settings.ExportSettings.WebPLoopCountInfo,How many times the animation repeats. 0 = loop forever.,动画重复次数。 0 = 永远循环,動畫重複多少次。 0 = 永遠循環。,Wie oft wird die Animation wiederholt? 0 = Schleife für immer.,Cuantas veces se repite la animación. 0 = bucle para siempre.,Combien de fois l'animation se répète. 0 = boucle pour toujours.,Hányszor ismétlődik az animáció. 0 = ciklus örökre.,アニメーションが繰り返される回数。 0 = 永久ループ。,애니메이션이 반복되는 횟수입니다. 0 = 영원히 반복됩니다.,Сколько раз повторяется анимация. 0 = цикл навсегда.,Quantas vezes a animação se repete. 0 = loop para sempre.,Скільки разів повторюється анімація. 0 = цикл назавжди.,Quante volte si ripete l'animazione. 0 = ciclo per sempre.,ภาพเคลื่อนไหวจะเล่นซ้ำกี่ครั้ง 0 = วนซ้ำตลอดไป,Animasyonun kaç kez tekrarlandığı. 0 = sonsuza kadar döngü.,Hur många gånger animeringen upprepas. 0 = slinga för alltid.,Koľkokrát sa animácia opakuje. 0 = slučka navždy.
MainMenu.Settings.ExportSettings.WebmInfo,"VP9, BT.709, Full Range color",,,,,,,,,,,,,,,,,
MainMenu.Settings.ExportSettings.WebmCQLevel,CQ Level,,,,,,,,,,,,,,,,,
MainMenu.Settings.ExportSettings.WebmCQLevelInfo,"lower CQ Level means bigger file, better quality; higher CQ Level means more compression, smaller file, worse quality",,,,,,,,,,,,,,,,,
MainMenu.Settings.ExportSettings.WebmSpeed,Speed,,,,,,,,,,,,,,,,,
MainMenu.Settings.ExportSettings.WebmSpeedInfo,"Lower speed means slower encode, better quality and usually smaller file",,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemType.All,All Types,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemType.Model,Model,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemType.Character,Character,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemType.Unknown,Unknown,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Tab.Browse,Browse,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Tab.Subscribed,Subscribed,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Tab.Published,Published,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Badge.Subscribed,Subscribed,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Author.Loading,Loading...,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Author.Unknown,Unknown,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Pager.FirstPage,First page,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Pager.PreviousPage,Previous page,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Pager.NextPage,Next page,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Pager.LastPage,Last page,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Pager.Summary,"Page {0} of {1} ({2} items)",,,,,,,,,,,,,,,,,
MainMenu.Workshop.Status.Loading,Loading Workshop items...,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Status.SteamNotRunning,Steam is not running. Start EmoteLab through Steam to browse the Workshop.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Status.CouldNotLoad,Could not load Workshop items.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Status.NoMoreResults,No more results are available from Steam.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Status.NoMatches,No Workshop items matched your search.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Status.NotSubscribedToAny,You are not subscribed to any matching Workshop items.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Status.NotPublishedAny,You have not published any matching Workshop items.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Status.QueryAlreadyRunning,Another Workshop query is already running.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Status.QueryRefused,Steam refused the Workshop query request.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.Status.QueryFailed,"Workshop query failed: {0}",,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Header,Workshop Item,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Author,Author,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Type,Type,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Size,Size,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Posted,Posted,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Updated,Updated,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.NotEnoughRatings,Not enough ratings,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Subscribe,Subscribe,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Unsubscribe,Unsubscribe,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.OpenInBrowser,Open in Browser,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Close,Close,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Status.SubmittingRating,Submitting rating...,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Status.RateFailed,Failed to rate this item.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Status.RatingSubmitted,Rating submitted.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Status.Subscribing,Subscribing...,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Status.Unsubscribing,Unsubscribing...,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Status.SubscribeFailed,Failed to subscribe to this item.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Status.UnsubscribeFailed,Failed to unsubscribe from this item.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Status.Subscribed,Subscribed.,,,,,,,,,,,,,,,,,
MainMenu.Workshop.ItemPopup.Status.Unsubscribed,Unsubscribed. The item will be removed by Steam.,,,,,,,,,,,,,,,,,
